version,N,run,computation_s,wall_s,fallbacks,verified_ok,seg_size,p_small
v1_goldbach_gpu3,1000000000,1,1.22599,1.47,0,1,200000000,1000000
v1_goldbach_gpu3,1000000000,2,1.2503,1.5,0,1,200000000,1000000
v1_goldbach_gpu3,1000000000,3,1.2131500000000002,1.46,0,1,200000000,1000000
v1_goldbach_gpu3,1000000000,4,1.25878,1.5,0,1,200000000,1000000
v1_goldbach_gpu3,1000000000,5,1.28373,1.53,0,1,200000000,1000000
v2.0.1_goldbach,1000000000,1,0.230561,0.59,0,1,200000000,1000000
v2.0.1_goldbach,1000000000,2,0.191103,0.53,0,1,200000000,1000000
v2.0.1_goldbach,1000000000,3,0.197524,0.54,0,1,200000000,1000000
v2.0.1_goldbach,1000000000,4,0.215596,0.58,0,1,200000000,1000000
v2.0.1_goldbach,1000000000,5,0.195865,0.55,0,1,200000000,1000000
v1_goldbach_gpu3,10000000000,1,13.5381,13.78,0,1,200000000,1000000
v1_goldbach_gpu3,10000000000,2,13.482299999999999,13.75,0,1,200000000,1000000
v1_goldbach_gpu3,10000000000,3,13.819799999999999,14.09,0,1,200000000,1000000
v1_goldbach_gpu3,10000000000,4,13.7872,14.05,0,1,200000000,1000000
v1_goldbach_gpu3,10000000000,5,13.1578,13.4,0,1,200000000,1000000
v2.0.1_goldbach,10000000000,1,1.02365,1.36,0,1,200000000,1000000
v2.0.1_goldbach,10000000000,2,1.03532,1.38,0,1,200000000,1000000
v2.0.1_goldbach,10000000000,3,1.032,1.38,0,1,200000000,1000000
v2.0.1_goldbach,10000000000,4,1.03776,1.38,0,1,200000000,1000000
v2.0.1_goldbach,10000000000,5,1.02711,1.37,0,1,200000000,1000000
