part,N,run,computation_s,wall_s,fallbacks,verified_ok,seg_size,p_small,batch_size,version
ladder,10000000000,1,1.04354,1.4,0,1,200000000,1000000,2000000,v2.0.1
ladder,10000000000,2,1.0301,1.37,0,1,200000000,1000000,2000000,v2.0.1
ladder,10000000000,3,1.07789,1.43,0,1,200000000,1000000,2000000,v2.0.1
ladder,10000000000,4,1.07476,1.42,0,1,200000000,1000000,2000000,v2.0.1
ladder,10000000000,5,1.07296,1.41,0,1,200000000,1000000,2000000,v2.0.1
ladder,100000000000,1,11.4207,11.77,0,1,200000000,1000000,2000000,v2.0.1
ladder,100000000000,2,11.3321,11.67,0,1,200000000,1000000,2000000,v2.0.1
ladder,100000000000,3,11.2881,11.64,0,1,200000000,1000000,2000000,v2.0.1
ladder,100000000000,4,11.1808,11.54,0,1,200000000,1000000,2000000,v2.0.1
ladder,100000000000,5,11.165,11.5,0,1,200000000,1000000,2000000,v2.0.1
ladder,1000000000000,1,145.619,145.97,0,1,200000000,1000000,2000000,v2.0.1
ladder,1000000000000,2,145.274,145.61,0,1,200000000,1000000,2000000,v2.0.1
ladder,1000000000000,3,144.477,144.82,0,1,200000000,1000000,2000000,v2.0.1
ladder,1000000000000,4,144.453,144.8,0,1,200000000,1000000,2000000,v2.0.1
ladder,1000000000000,5,144.93,145.28,0,1,200000000,1000000,2000000,v2.0.1
ladder,10000000000000,1,3248.0,3248.35,0,1,200000000,1000000,2000000,v2.0.1
ladder,10000000000000,2,3240.88,3241.23,0,1,200000000,1000000,2000000,v2.0.1
ladder,10000000000000,3,3248.05,3248.4,0,1,200000000,1000000,2000000,v2.0.1
